factor_name,original_frequency,category,period_used,trend_strength,seasonal_strength,trend_slope,mean_resid,std_resid,skew_resid,kurtosis_resid,lb_pvalue,normal_pvalue,passed_white_noise,passed_normality,final_length,image_path,adf_p,kpss_p,is_stationary,station_method,is_stationary_after
profit_relative,1h,supply,24,0.015392872391109886,0.18173557353958505,2.5418744526033548e-08,3.891735095610562e-05,0.0063804103255803,-0.07719549390859469,12.099879984711226,4.1203090973828814e-08,0.0,False,False,7462,./data/image_multi_freq/profit_relative_1h.png,0.1719131154846122,0.01,False,diff1,True
illiquid_sum,10m,supply,144,0.005372013935909398,0.4392201207210704,0.0029959434439716477,10.245755129520337,446.21594231977787,1.9813930246607212,104.06009935637961,4.502498520135024e-07,0.0,False,False,44782,./data/image_multi_freq/illiquid_sum_10m.png,0.9965309524648298,0.01,False,diff1,True
revived_more_5y_sum,10m,supply,144,0.00032502605742684715,0.4731620107784281,1.15428870248717e-05,0.12311322949766657,259.88603959327247,0.947713008145154,1105.1190090855996,0.0,0.0,False,False,44782,./data/image_multi_freq/revived_more_5y_sum_10m.png,0.0,0.01,False,diff1,True
active_more_3y_percent,10m,supply,144,0.003924487617446602,0.34597227575280387,-1.8189637292761705e-10,1.623452676926065e-07,2.3753136506029846e-05,46.061667562725724,4609.973852026526,0.0,0.0,False,False,44782,./data/image_multi_freq/active_more_3y_percent_10m.png,0.9608312501193315,0.01,False,diff1,True
active_more_2y_percent,10m,supply,144,0.00503472231219975,0.3615594185665537,-1.352864947121743e-10,2.7339814183955077e-07,2.359762159650651e-05,70.60462171380433,10588.274416402135,3.1725812795479862e-233,0.0,False,False,44782,./data/image_multi_freq/active_more_2y_percent_10m.png,0.973192334617104,0.01,False,diff1,True
active_2y_3y,10m,supply,144,0.0014776482789082646,0.16328931605706026,0.0009720241417031232,0.22295303159351584,549.850691276719,11.776150172656116,7753.764550376253,0.0,0.0,False,False,44782,./data/image_multi_freq/active_2y_3y_10m.png,0.5749645128349117,0.01,False,diff1,True
active_6m_12m,10m,supply,144,0.0037905067067253804,0.851148456053559,0.005105404979131782,-2.3927531796191803,1033.563357309444,-2.5096297657962405,603.0158375754144,0.0,0.0,False,False,44781,./data/image_multi_freq/active_6m_12m_10m.png,0.873741492604774,0.01,False,diff2,True
active_24h,10m,supply,144,0.007174496326761364,0.4528867323478674,0.0012745106153720638,19.028891619505572,3194.9292769810186,-0.2186126061847982,180.8371847797026,3.817764897607528e-42,0.0,False,False,44782,./data/image_multi_freq/active_24h_10m.png,2.184988623915846e-17,0.01,False,diff1,True
liquid_change,10m,supply,144,0.0029658914132657823,0.2738106522521479,-0.0011663526323327114,-0.6616005010779341,669.273280166288,-0.3177316493098423,61.07128807867784,3.358633094176565e-17,0.0,False,False,44782,./data/image_multi_freq/liquid_change_10m.png,0.5999475878035623,0.01,False,diff1,True
current_adjusted,10m,supply,144,0.0002796447940022207,0.3773754425896616,-0.00011571890938462107,-0.8576736559529551,369.89003528706496,-0.4248607905652698,16197.16690398178,0.0,0.0,False,False,44781,./data/image_multi_freq/current_adjusted_10m.png,0.013680615533618911,0.01,False,diff2,True
revived_more_1y_sum,10m,supply,144,0.007101326691329811,0.3310969495158327,0.0013354999598950027,16.081317206200886,531.4315455897344,58.53557352940422,5894.367931407358,0.0,0.0,False,False,44783,./data/image_multi_freq/revived_more_1y_sum_10m.png,0.0,0.1,True,none,True
illiquid_change,10m,supply,144,0.00291086645945336,0.27022629126144254,0.0010247834156078574,0.6420962414057866,671.1137878422154,0.24889183173139479,61.40929105486666,5.151001849176981e-17,0.0,False,False,44782,./data/image_multi_freq/illiquid_change_10m.png,0.6007628036756307,0.01,False,diff1,True
liquid_sum,10m,supply,144,0.005101540635449398,0.5003566280648302,0.00019358537643016414,1.6104417259072739,300.7334319344143,10.367926687730193,707.6298222513906,3.042352137711403e-09,0.0,False,False,44782,./data/image_multi_freq/liquid_sum_10m.png,0.9461223448428135,0.01,False,diff1,True
