,factor_name,original_frequency,category,period_used,trend_strength,seasonal_strength,trend_slope,mean_resid,std_resid,skew_resid,kurtosis_resid,lb_pvalue,normal_pvalue,passed_white_noise,passed_normality,final_length,image_path,adf_p,kpss_p,is_stationary,station_method,is_stationary_after,score
116,transfers_volume_profit_relative,1h,transactions,24,0.0203399334340199,0.2750362413218053,1.043744945472515e-06,-0.00319069936409,0.2226318882859524,-0.1040884990165815,3.411095257121169,2.05086608404074e-98,2.832831489442176e-133,False,False,7450,./data/image_multi_freq/transfers_volume_profit_relative_1h.png,8.613388523526221e-17,0.0303653782855148,False,diff1,True,0.2953761747558252
67,transfers_volume_entity_adjusted_from_lth_loss_sum,10m,transactions,144,0.0010712596005351,0.2824249085290931,-1.7962542115104847e-05,0.0512128881442366,63.97676591650395,-0.493094469624031,1361.821126885887,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_entity_adjusted_from_lth_loss_sum_10m.png,0.0,0.01,False,diff1,True,0.2834961681296282
73,transfers_volume_median,10m,transactions,144,0.003410012957235,0.2788103566529963,-1.9226868278187505e-08,0.0002738791989844,0.0037797599817289,0.4260830567689449,17.14037983910346,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_median_10m.png,0.0,0.01,False,diff1,True,0.2822203696102313
105,transfers_volume_entity_adjusted_from_sth_loss_sum,10m,transactions,144,0.0014886014149147,0.2785591100536593,0.0022953842459768,9.246256524259238,630.0932287660888,0.6255709745648592,61.05188104694594,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_entity_adjusted_from_sth_loss_sum_10m.png,0.0,0.01,False,diff1,True,0.280047711468574
126,min_point_1_count,10m,addresses,144,0.0012463668249461,0.2779898283929778,3.8287500310477984e-05,-1.4276087267893545,82.73848954787627,-0.2650721861864696,83.39740591210847,0.0,0.0,False,False,44781,./data/image_multi_freq/min_point_1_count_10m.png,0.6656454915622306,0.01,False,diff2,True,0.2792361952179239
35,futures_open_interest_perpetual_sum,10m,derivatives,144,0.0022307374434726,0.2766879486027848,0.0048921930830362,-3.0300964123722625,1687.7290172017545,2.0631157662433965,88.7968295921225,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_open_interest_perpetual_sum_10m.png,0.2036305240374717,0.01,False,diff1,True,0.27891868604625736
79,transfers_volume_profit_sum,1h,transactions,24,0.0072728029406889,0.2704527671201229,-0.0089701118394042,34.19572746477623,4689.935878404868,0.3183048380176499,29.396775517683373,3.244268478114633e-251,0.0,False,False,7462,./data/image_multi_freq/transfers_volume_profit_sum_1h.png,3.4842812946455155e-14,0.01,False,diff1,True,0.2777255700608118
164,realized_volatility_1_week,10m,market,144,0.1822165128510908,0.0947932167678537,-8.609126282460263e-07,0.0022630537020741,0.0542231824642078,0.0185057211904312,23.16556888878849,0.0,0.0,False,False,44782,./data/image_multi_freq/realized_volatility_1_week_10m.png,0.0015038351247613,0.01,False,diff1,True,0.2770097296189445
56,liquid_change,10m,supply,144,0.0029658914132657,0.2738106522521479,-0.0011663526323327,-0.6616005010779341,669.273280166288,-0.3177316493098423,61.07128807867784,3.358633094176565e-17,0.0,False,False,44782,./data/image_multi_freq/liquid_change_10m.png,0.5999475878035623,0.01,False,diff1,True,0.2767765436654136
59,illiquid_change,10m,supply,144,0.0029108664594533,0.2702262912614425,0.0010247834156078,0.6420962414057866,671.1137878422154,0.2488918317313947,61.40929105486666,5.151001849176981e-17,0.0,False,False,44782,./data/image_multi_freq/illiquid_change_10m.png,0.6007628036756307,0.01,False,diff1,True,0.2731371577208958
